#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	DS_BIOME_D138_output	DS_BIOME_D144_output	DS_BIOME_D185_output	DS_BIOME_D186_output	DS_BIOME_D187_output	DS_BIOME_D188_output	DS_BIOME_D207_output	DS_BIOME_D208_output	DS_BIOME_D61_output	DS_BIOME_NegLP_Control_output	Dsbiome_137_output	Dsbiome_138_output	Dsbiome_143_output	Dsbiome_D100_output	Dsbiome_D103_output	Dsbiome_D104_output	Dsbiome_D105_output	Dsbiome_D106_output	Dsbiome_D107_output	Dsbiome_D108_output	Dsbiome_D109_output	Dsbiome_D10_output	Dsbiome_D110_output	Dsbiome_D111_output	Dsbiome_D112_output	Dsbiome_D113_output	Dsbiome_D114_output	Dsbiome_D115_output	Dsbiome_D116_output	Dsbiome_D117_output	Dsbiome_D118_output	Dsbiome_D119_output	Dsbiome_D11_output	Dsbiome_D120_output	Dsbiome_D121_output	Dsbiome_D122_output	Dsbiome_D123_output	Dsbiome_D124_output	Dsbiome_D125_output	Dsbiome_D126_output	Dsbiome_D127_output	Dsbiome_D128_output	Dsbiome_D12_output	Dsbiome_D131_output	Dsbiome_D132_output	Dsbiome_D135_output	Dsbiome_D136_output	Dsbiome_D13_output	Dsbiome_D145_output	Dsbiome_D146_output	Dsbiome_D147_output	Dsbiome_D148_output	Dsbiome_D149_output	Dsbiome_D14_output	Dsbiome_D150_output	Dsbiome_D151_output	Dsbiome_D152_output	Dsbiome_D153_output	Dsbiome_D154_output	Dsbiome_D155_output	Dsbiome_D156_output	Dsbiome_D157_output	Dsbiome_D158_output	Dsbiome_D159_output	Dsbiome_D160_output	Dsbiome_D163_output	Dsbiome_D164_output	Dsbiome_D169_output	Dsbiome_D170_output	Dsbiome_D171_output	Dsbiome_D172_output	Dsbiome_D173_output	Dsbiome_D174_output	Dsbiome_D175_output	Dsbiome_D176_output	Dsbiome_D177_output	Dsbiome_D178_output	Dsbiome_D17_output	Dsbiome_D183_output	Dsbiome_D184_output	Dsbiome_D189_output	Dsbiome_D18_output	Dsbiome_D190_output	Dsbiome_D195_output	Dsbiome_D196_output	Dsbiome_D197_output	Dsbiome_D198_output	Dsbiome_D199_output	Dsbiome_D19_output	Dsbiome_D1_output	Dsbiome_D200_output	Dsbiome_D201_output	Dsbiome_D202_output	Dsbiome_D203_output	Dsbiome_D204_output	Dsbiome_D205_output	Dsbiome_D206_output	Dsbiome_D209_output	Dsbiome_D20_output	Dsbiome_D210_output	Dsbiome_D211_output	Dsbiome_D212_output	Dsbiome_D215_output	Dsbiome_D216_output	Dsbiome_D219_output	Dsbiome_D220_output	Dsbiome_D221_output	Dsbiome_D222_output	Dsbiome_D23_output	Dsbiome_D24_output	Dsbiome_D25_output	Dsbiome_D26_output	Dsbiome_D27_output	Dsbiome_D28_output	Dsbiome_D29_output	Dsbiome_D2_output	Dsbiome_D30_output	Dsbiome_D31_output	Dsbiome_D32_output	Dsbiome_D33_output	Dsbiome_D34_output	Dsbiome_D35_output	Dsbiome_D36_output	Dsbiome_D37_output	Dsbiome_D38_output	Dsbiome_D39_output	Dsbiome_D3_output	Dsbiome_D40_output	Dsbiome_D41_output	Dsbiome_D42_output	Dsbiome_D45_output	Dsbiome_D46_output	Dsbiome_D47_output	Dsbiome_D48_output	Dsbiome_D49_output	Dsbiome_D4_output	Dsbiome_D50_output	Dsbiome_D51_output	Dsbiome_D52_output	Dsbiome_D53_output	Dsbiome_D54_output	Dsbiome_D55_output	Dsbiome_D56_output	Dsbiome_D57_output	Dsbiome_D58_output	Dsbiome_D59_output	Dsbiome_D5_output	Dsbiome_D60_output	Dsbiome_D61_output	Dsbiome_D62_output	Dsbiome_D63_output	Dsbiome_D64_output	Dsbiome_D67_output	Dsbiome_D68_output	Dsbiome_D6_output	Dsbiome_D71_output	Dsbiome_D72_output	Dsbiome_D75_output	Dsbiome_D76_output	Dsbiome_D77_output	Dsbiome_D78_output	Dsbiome_D79_output	Dsbiome_D7_output	Dsbiome_D80_output	Dsbiome_D81_output	Dsbiome_D82_output	Dsbiome_D85_output	Dsbiome_D86_output	Dsbiome_D8_output	Dsbiome_D91_output	Dsbiome_D92_output	Dsbiome_D93_output	Dsbiome_D94_output	Dsbiome_D95_output	Dsbiome_D96_output	Dsbiome_D99_output	Dsbiome_D9_output	Dsbiome_NegC_1_output
k__Bacteria	99.93842	100.0	100.0	99.79745	99.56291	99.99574	100.0	100.0	100.0	0.0	100.0	0.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.86472	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.52126	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.74042	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.96796	99.92826	100.0	100.0	100.0	99.95907	99.87532	100.0	98.92588	99.94054	100.0	100.0	100.0	100.0	100.0	99.97759	100.0	100.0	100.0	100.0	99.77833	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	100.0	100.0	99.46362	100.0	99.88308	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.2373	100.0	99.97622	100.0	100.0	100.0	100.0	100.0	0.0
k__Archaea	0.06158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03204	0.07174	0.0	0.0	0.0	0.0	0.0	0.0	1.07412	0.0	0.0	0.0	0.0	0.0	0.0	0.02241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	67.45516	64.96889	58.60465	64.772	67.54669	65.27925	55.94752	57.00524	51.31336	0.0	53.27922	0.0	57.03944	44.37042	10.26625	22.51518	56.74203	29.63722	60.90286	71.12893	5.29178	22.15537	65.13867	50.0303	43.1272	40.93401	55.28491	48.6207	96.29027	37.32994	58.03472	45.30537	32.0632	61.64635	64.59998	43.1962	48.84513	71.15274	55.41033	70.77977	46.65481	68.32195	59.62936	27.51624	44.73133	59.22006	33.2853	36.93129	79.2024	50.02981	45.30764	42.41232	59.33924	66.38334	37.55577	63.14501	41.28207	21.63721	68.29754	66.49009	44.95978	55.14024	38.80193	20.04313	6.32956	22.492	24.80678	52.8569	51.74915	40.74298	60.3814	51.96483	48.8739	25.53558	44.28334	39.36923	63.02273	14.61115	68.86194	65.39965	53.45136	76.35345	63.27327	51.60222	55.05876	39.07106	35.48961	37.40909	50.63179	59.52904	53.50219	48.30677	16.43453	39.20823	45.62924	53.71377	24.49602	60.08005	46.18286	53.70847	69.50259	69.30431	63.04301	53.30244	54.17225	61.89021	64.37811	59.94921	49.15585	68.71419	48.52193	59.30553	53.81412	35.22722	43.49233	57.05958	65.67363	64.3883	61.02527	9.44229	62.62566	72.98539	75.33103	47.31839	46.17212	32.58334	45.1702	46.92333	29.74946	48.17207	55.80432	30.91109	42.63047	45.05151	32.74102	35.23206	53.80331	58.77557	43.94958	35.80621	76.27336	44.70525	53.38856	55.45869	46.24945	40.06905	30.96422	47.99132	0.0	55.68798	37.96063	81.75479	44.34196	60.59065	53.28303	42.92052	53.36681	58.98031	45.99551	64.28743	51.77767	58.21651	54.50355	35.66151	64.44495	18.86644	27.02432	60.89582	52.42197	62.20567	51.62167	69.03335	62.00139	57.95733	64.83724	75.02382	81.95438	0.0
k__Bacteria|p__Bacteroidota	24.48827	33.30358	33.47298	19.35448	25.51916	28.60904	31.93603	26.82042	42.68272	0.0	35.02373	0.0	30.09147	49.26701	87.10665	72.74673	41.96695	67.11241	29.24113	21.58184	0.0	69.20417	31.42596	46.31402	47.37253	53.87268	37.78278	45.322	0.0	60.27328	10.49527	50.8466	56.74524	28.93591	14.84129	36.70599	42.11729	14.91481	23.56512	19.66754	46.54594	28.47431	28.86499	67.12559	51.51726	28.6317	63.998	62.64553	15.35142	41.30274	43.6499	54.66925	35.37553	16.31122	59.7522	31.88969	47.06006	76.68132	26.95161	23.35366	0.0	38.46434	30.31329	76.95389	89.31047	74.26818	69.8496	36.29836	38.70456	53.51378	36.34611	44.74531	41.89598	71.07294	50.6814	58.43973	30.04175	75.21054	19.29802	27.48743	41.34357	22.17155	31.23768	45.02976	36.26828	54.91668	51.29451	55.6791	46.36378	38.11184	39.16166	33.16325	70.04223	59.15344	50.26165	34.89543	33.62256	35.36804	39.04648	40.82101	19.83331	23.97331	24.92906	45.78295	38.49126	22.12656	30.61554	34.50985	26.23761	24.95607	44.46106	38.22695	44.32164	61.47214	52.43611	22.65001	26.82644	27.52162	36.40224	88.66103	27.38819	23.61068	22.84917	37.84964	44.40346	57.25395	38.62288	43.01109	66.27442	42.38605	40.69844	65.85649	52.1444	51.04956	60.69012	51.09823	35.88384	36.57194	52.16667	61.36043	20.18952	49.68456	29.29757	34.02536	30.96657	56.43929	56.56059	38.08333	0.0	26.98196	53.81668	8.4518	48.52367	29.61433	42.16802	54.87832	42.91823	35.78254	50.75243	32.13707	42.18293	36.03035	38.24019	59.53495	27.7451	72.30898	61.59419	33.63595	44.56998	26.73829	44.37455	22.22344	32.718	34.42226	26.79404	16.40707	14.67759	0.0
k__Bacteria|p__Verrucomicrobia	2.83655	0.0	0.71034	1.93832	0.94273	1.86267	2.33086	2.13165	2.2139	0.0	2.4418	0.0	1.78782	0.0	0.0	0.3773	0.0	0.0	0.09215	0.0	0.0	1.31709	0.37155	0.0	3.90788	1.7041	0.0	2.30722	0.0	0.18369	17.2067	1.48616	3.18527	0.0	0.0	5.09166	0.66923	6.88714	13.08824	3.52373	0.0	0.07413	2.33626	0.0	0.82302	5.38093	0.0	0.0	0.53782	2.82559	0.26317	0.11078	1.26984	12.92622	0.03263	0.0	6.03659	0.1817	0.0	0.53919	0.0	0.65613	2.80558	1.75967	0.0	0.0	0.13827	4.33936	2.14684	0.0	0.19865	0.5334	0.1746	0.77257	2.33857	0.0	0.0	0.0	7.55058	2.18961	0.0	0.0	0.0	0.75733	1.16786	0.0	0.02527	2.93902	0.0	0.11479	0.0	11.54408	0.0	0.0	0.0	4.67217	16.12635	0.23313	0.0	2.32486	3.31827	2.18601	9.71551	0.0	0.76609	2.17735	0.80933	2.16115	3.69733	0.13595	1.86375	0.0	0.29353	0.72101	0.46194	10.42199	0.0	3.54924	0.20057	0.0	2.41222	0.0	0.51308	0.48153	6.44116	0.00635	9.79041	0.0	0.0	7.12634	0.66229	2.16347	1.84047	0.0	0.86715	11.65336	0.76921	0.18446	1.61474	0.25758	1.08322	0.42678	0.0	1.52559	5.6244	1.20118	0.91608	1.94863	0.0	0.0	2.90787	0.0	0.06749	0.0	0.0	0.41431	0.07949	0.17729	1.09006	0.07648	4.23946	0.0	0.0	0.0	0.0	0.0	0.0	4.54657	0.0	2.45815	0.03886	3.85732	2.4846	0.48849	2.26103	0.28638	0.13328	0.0
k__Bacteria|p__Proteobacteria	2.59301	0.0	2.70678	3.127	2.07113	3.52265	2.27109	10.17335	0.95955	0.0	2.4115	0.0	7.5634	4.8191	2.44422	3.2162	0.37009	2.3505	3.4879	1.29126	31.77476	6.94128	1.97724	2.61249	2.10013	2.1585	4.20293	1.11857	1.32183	0.40584	0.92776	1.65896	7.49103	4.44238	6.82639	1.06229	3.29987	0.64535	3.25375	2.21039	3.34042	2.34378	0.27907	4.27071	1.69106	4.01763	1.92514	0.09488	3.28052	1.61728	6.92478	1.6688	0.58059	2.40534	0.8014	3.13091	1.81177	1.37165	1.45477	2.63624	22.81709	2.33959	23.21788	0.9811	2.50108	1.14587	2.81291	2.18704	4.92696	5.3068	1.80763	1.2536	0.734	1.8126	1.99614	1.47834	4.21179	0.04047	0.43064	1.28765	3.57498	0.62374	1.53843	0.76212	1.38782	5.17077	11.27937	2.52585	2.64697	1.34505	6.2911	5.34876	12.25586	1.57157	2.39	4.3407	1.77423	1.30725	14.58329	0.0	1.40031	2.2382	2.04723	0.0	2.40606	2.52772	1.49991	2.93646	7.8683	4.65644	1.95059	1.70218	0.87799	2.32436	3.09342	4.21176	3.20034	1.70991	1.06486	1.30009	6.98099	2.87173	0.12216	0.95732	1.46757	9.01867	6.00406	6.09393	3.58951	0.66427	0.75979	0.95218	1.09794	1.81442	5.54821	1.93182	4.06214	3.11076	2.03339	1.18336	0.96332	3.78663	2.04501	1.20144	6.61112	1.00917	9.8427	3.97255	0.0	1.46747	4.20516	7.4499	3.71679	3.38832	3.57982	0.62964	2.21681	2.62335	0.9166	3.32093	1.32512	1.68746	4.67432	3.80346	5.7439	5.92617	10.26507	0.23904	2.31606	3.48063	2.89175	3.06973	2.19465	2.93165	2.55494	4.77067	1.88934	0.0
k__Bacteria|p__Bacillota	2.00464	0.29667	3.49804	10.00205	1.69691	0.17445	4.12399	3.29633	0.68272	0.0	3.92529	0.0	3.18434	0.80234	0.0	0.00739	0.57993	0.56794	5.35365	3.06852	0.0	0.06707	0.85764	0.88844	3.44496	1.08941	2.3624	2.58191	0.0	1.56979	0.0	0.63893	0.07869	1.81799	3.45985	0.0	3.05568	0.41111	1.74047	3.13793	2.97734	0.65263	8.5747	0.11163	0.88379	2.41734	0.66539	0.25453	0.39496	1.27606	3.72721	0.03962	3.4348	1.30006	1.07308	0.58387	2.66269	0.10219	3.00076	3.95643	0.0	1.64995	0.27763	0.14886	0.39015	0.10767	0.47783	1.11806	0.66914	0.19805	0.73491	0.96464	1.06491	0.03571	0.04662	0.56446	2.4629	9.2214	1.78826	3.3689	1.52952	0.85125	3.95061	1.70085	5.85293	0.1136	0.30589	0.68253	0.01971	0.0877	0.88571	1.06941	0.97273	0.02841	0.20098	1.34772	0.02186	1.19981	0.03211	0.04107	0.92457	1.82617	0.16537	0.18265	3.41077	10.76797	1.53454	0.17011	9.39879	1.31189	1.7945	0.71812	0.62491	0.2428	0.23088	3.70683	3.96166	2.6239	0.83084	0.11628	0.06311	0.24596	0.0	13.17332	0.00694	0.9816	0.19965	0.0	0.26283	0.56778	1.75033	0.10156	0.16059	0.50751	0.06415	0.01398	0.20374	0.75526	0.23562	1.12091	0.07571	0.10528	2.11207	2.3217	1.22278	0.15263	1.37001	2.02921	0.0	15.60094	0.44297	1.23719	2.68698	5.74465	0.60125	0.48638	1.29452	1.42486	0.63015	0.13687	0.08325	1.16677	2.50002	0.79162	1.53247	0.01267	1.04465	0.369	0.55247	2.13444	0.57219	1.17531	0.36996	1.4605	0.81262	2.40905	0.91334	0.0
k__Bacteria|p__Actinobacteria	0.39035	1.41247	0.34226	0.58691	1.3235	0.53898	3.11558	0.56731	2.11992	0.0	2.68444	0.0	0.33353	0.70771	0.16339	0.34245	0.33038	0.167	0.72095	0.58722	62.93346	0.17598	0.22895	0.10812	0.04732	0.0	0.35265	0.04672	2.38789	0.21253	13.33555	0.06398	0.32134	3.14054	10.27249	13.94386	1.9737	5.98886	1.118	0.48378	0.38887	0.13319	0.2062	0.97583	0.20536	0.28411	0.12548	0.05715	0.07348	1.78412	0.00534	0.69256	0.0	0.16755	0.0935	0.80683	1.01153	0.01931	0.29531	2.97385	32.22313	1.74975	4.5837	0.11335	1.46874	1.98628	0.24457	1.6323	0.2061	0.2384	0.53129	0.09984	0.09457	0.08251	0.35126	0.14823	0.25497	0.91643	0.23904	0.26675	0.09025	0.0	0.0	0.10125	0.26436	0.72788	1.38266	0.7644	0.3319	0.797	0.13858	0.4502	0.29465	0.03835	1.44968	0.31733	23.95898	1.76925	0.10702	3.10042	4.16615	0.10762	0.09982	0.73196	0.21369	0.45367	0.65678	0.27322	2.18176	0.06211	1.39497	0.00839	0.06451	0.01248	0.28532	1.26125	0.33793	0.18181	0.47622	0.04005	0.09794	0.28623	1.18456	0.20638	1.2429	0.15609	0.20242	3.97164	0.11523	0.94365	0.12579	0.01521	1.96449	1.49454	0.08934	0.04834	5.27777	0.04203	0.0	0.26141	0.94865	1.29151	13.15679	5.43166	9.32569	1.04911	0.33567	2.45404	0.0	0.26165	0.39943	1.02306	0.05991	0.63657	0.18809	0.00541	0.08708	0.43514	0.31188	0.04122	0.37272	2.84738	0.08192	0.14969	0.17948	2.88574	0.01936	0.21795	0.11873	0.11458	0.03225	0.35264	0.01717	2.73977	2.74013	1.09224	0.21387	0.0
k__Bacteria|p__Lentisphaerae	0.13551	0.0	0.64659	0.0	0.4412	0.0	0.26422	0.0	0.0	0.0	0.22834	0.0	0.0	0.0	0.0195	0.7831	0.0	0.0	0.20137	2.34222	0.0	0.07857	0.0	0.0	0.0	0.2413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5453	0.1882	0.03873	0.0	0.0	0.0	0.12744	0.0	0.0	0.0	1.03735	0.64804	0.0	0.40667	0.0	0.49398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94926	0.76242	0.0	0.0	0.07176	0.77004	0.68808	0.30269	0.0	0.0	0.0	0.51987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01458	0.0	0.0	0.0	0.0	0.0	0.02409	0.0	0.03215	0.0	0.0	0.82275	0.04729	0.0	0.0	0.53681	0.0	0.38112	0.0	0.38622	0.0	0.0	0.0	0.0	0.0	0.0	0.66617	0.0	0.02522	0.0	0.44027	0.21022	0.0	0.0	0.01342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52092	0.0	0.0	0.25441	0.0	0.01893	0.0	0.0	0.11249	0.0	0.4596	0.0	0.0	0.01885	0.0	0.0	0.0	0.0	0.0	0.04785	0.09568	0.0	0.10403	0.46874	0.0168	0.21424	0.0	0.0	0.0	0.12635	0.0
k__Archaea|p__Candidatus_Thermoplasmatota	0.06158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03204	0.07174	0.0	0.0	0.0	0.0	0.0	0.0	1.07412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
